cat_category,category_avg,general_avg
Honey,5.0,3.9094395932252817
Nicaraguan,4.634920634920635,3.9094395932252817
Cooking Schools,4.623655913978495,3.9094395932252817
Kiosk,4.619047619047619,3.9094395932252817
Conveyor Belt Sushi,4.591616766467066,3.9094395932252817
Dumplings,4.571428571428571,3.9094395932252817
Serbo Croatian,4.559440559440559,3.9094395932252817
Cucina campana,4.521739130434782,3.9094395932252817
Israeli,4.506988564167726,3.9094395932252817
Hakka,4.5,3.9094395932252817
Oriental,4.48051948051948,3.9094395932252817
Sardinian,4.471861471861472,3.9094395932252817
Farmers Market,4.458632676709154,3.9094395932252817
Empanadas,4.448670377241806,3.9094395932252817
Popcorn Shops,4.426470588235294,3.9094395932252817
Himalayan/Nepalese,4.42602495543672,3.9094395932252817
Syrian,4.420118343195266,3.9094395932252817
Food Stands,4.410334158415842,3.9094395932252817
Coffee Roasteries,4.4099780701754385,3.9094395932252817
Venezuelan,4.394696583375828,3.9094395932252817
Cheese Shops,4.393899350291818,3.9094395932252817
Dinner Theater,4.391061452513966,3.9094395932252817
Poke,4.385501723825077,3.9094395932252817
Calabrian,4.38,3.9094395932252817
Japanese Curry,4.378066378066378,3.9094395932252817
Meat Shops,4.376206021037359,3.9094395932252817
Speakeasies,4.356521739130435,3.9094395932252817
Patisserie/Cake Shop,4.3553200692041525,3.9094395932252817
Chocolatiers & Shops,4.35102799395981,3.9094395932252817
Macarons,4.349568434032059,3.9094395932252817
Themed Cafes,4.347290640394089,3.9094395932252817
Butcher,4.341758391085746,3.9094395932252817
Hotel bar,4.333333333333333,3.9094395932252817
Packing Services,4.333333333333333,3.9094395932252817
Food Court,4.3288751714677645,3.9094395932252817
Drive-Thru Bars,4.328767123287672,3.9094395932252817
Stadiums & Arenas,4.327586206896552,3.9094395932252817
Polish,4.322562031159839,3.9094395932252817
Tea Rooms,4.3186513350224125,3.9094395932252817
Russian,4.317460317460317,3.9094395932252817
Candy Stores,4.317378048780488,3.9094395932252817
Ukrainian,4.306691449814126,3.9094395932252817
Ethiopian,4.303350970017637,3.9094395932252817
Turkish,4.2985954569100056,3.9094395932252817
Champagne Bars,4.2983081032947466,3.9094395932252817
Arabic,4.2909343200740055,3.9094395932252817
Vegan,4.288789323687384,3.9094395932252817
Wineries,4.288382517743743,3.9094395932252817
Coffeeshops,4.287878787878788,3.9094395932252817
Austrian,4.284848484848485,3.9094395932252817
Australian,4.276497695852535,3.9094395932252817
Food Trucks,4.271512282423577,3.9094395932252817
Afghan,4.271170313986679,3.9094395932252817
International Grocery,4.269633507853404,3.9094395932252817
Internet Cafes,4.268708388814914,3.9094395932252817
Colombian,4.260705289672544,3.9094395932252817
Scottish,4.260162601626016,3.9094395932252817
Trinidadian,4.24,3.9094395932252817
Argentine,4.237348327907665,3.9094395932252817
Delicatessen,4.235,3.9094395932252817
Falafel,4.223237372866747,3.9094395932252817
Hawaiian,4.221502508414301,3.9094395932252817
Custom Cakes,4.220837328219878,3.9094395932252817
Haitian,4.214814814814815,3.9094395932252817
Ethnic Grocery,4.21455938697318,3.9094395932252817
Gelato,4.211215580926797,3.9094395932252817
Cupcakes,4.200117600940808,3.9094395932252817
Persian/Iranian,4.194034440344404,3.9094395932252817
South African,4.184549356223176,3.9094395932252817
Kebab,4.183993399339934,3.9094395932252817
Cafeteria,4.181939799331103,3.9094395932252817
Acai Bowls,4.181291294772227,3.9094395932252817
Juice Bars & Smoothies,4.181142197473855,3.9094395932252817
Vegetarian,4.174511178204299,3.9094395932252817
Live/Raw Food,4.174008357881757,3.9094395932252817
Peruvian,4.169541164985357,3.9094395932252817
Czech,4.165605095541402,3.9094395932252817
Bubble Tea,4.162929504758832,3.9094395932252817
Tapas/Small Plates,4.149047824037062,3.9094395932252817
Cafes,4.147895168696238,3.9094395932252817
Moroccan,4.147403685092128,3.9094395932252817
Pop-Up Restaurants,4.145141943222711,3.9094395932252817
Ramen,4.144890276374989,3.9094395932252817
Mediterranean,4.144866167278973,3.9094395932252817
Pan Asian,4.140493287542928,3.9094395932252817
French,4.137648079680073,3.9094395932252817
Sicilian,4.136305732484076,3.9094395932252817
Seafood Markets,4.131869395263279,3.9094395932252817
Dietitians,4.130434782608695,3.9094395932252817
Waffles,4.130178935991354,3.9094395932252817
Cuban,4.128251397385679,3.9094395932252817
Eastern European,4.125,3.9094395932252817
New Mexican Cuisine,4.120737842370039,3.9094395932252817
Kosher,4.119844834626378,3.9094395932252817
Taiwanese,4.111041503523884,3.9094395932252817
Korean,4.109808228937838,3.9094395932252817
Armenian,4.10835734870317,3.9094395932252817
Wine Bars,4.108220747777552,3.9094395932252817
Tapas Bars,4.107884866618905,3.9094395932252817
Social Clubs,4.102228047182176,3.9094395932252817
German,4.095410628019324,3.9094395932252817
Indian,4.093971123563336,3.9094395932252817
Gluten-Free,4.091041459115641,3.9094395932252817
Specialty Food,4.089588592536435,3.9094395932252817
Brazilian,4.0894195224298135,3.9094395932252817
Thai,4.087749592292617,3.9094395932252817
Bakeries,4.081149159234801,3.9094395932252817
Egyptian,4.08095952023988,3.9094395932252817
Portuguese,4.067656765676568,3.9094395932252817
Cambodian,4.066213921901528,3.9094395932252817
Greek,4.062654593164562,3.9094395932252817
Ethnic Food,4.062501567555366,3.9094395932252817
Basque,4.0541480377545955,3.9094395932252817
Noodles,4.05184920918064,3.9094395932252817
Fish & Chips,4.047657774886142,3.9094395932252817
Soul Food,4.046333137139494,3.9094395932252817
Cocktail Bars,4.045720121120978,3.9094395932252817
Vietnamese,4.044400609701426,3.9094395932252817
Shanghainese,4.0349369988545245,3.9094395932252817
Beer Bar,4.028533585086446,3.9094395932252817
Desserts,4.028246777090135,3.9094395932252817
British,4.020943729497855,3.9094395932252817
Puerto Rican,4.020301445709013,3.9094395932252817
Comfort Food,4.019857954545454,3.9094395932252817
Farms,4.006435006435006,3.9094395932252817
Belgian,4.002314814814815,3.9094395932252817
Wraps,4.002038812957789,3.9094395932252817
Wine & Spirits,4.000206905470064,3.9094395932252817
Beach Bars,4.0,3.9094395932252817
Delis,3.9953790629954016,3.9094395932252817
Poutineries,3.994718309859155,3.9094395932252817
Pick Your Own Farms,3.9919028340080973,3.9094395932252817
Cajun/Creole,3.9909343443822967,3.9094395932252817
Gastropubs,3.989540853747983,3.9094395932252817
Donuts,3.986220974738454,3.9094395932252817
Brewpubs,3.9812709030100333,3.9094395932252817
