day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
26,9,2012,31,54,11,0.0,82.0,6.0,16.3,2.5,6.2,1.7,not fire   ,0
27,9,2012,31,66,11,0.0,85.7,8.3,24.9,4.0,9.0,4.1,fire   ,0
28,9,2012,32,47,14,0.7,77.5,7.1,8.8,1.8,6.8,0.9,not fire   ,0
29,9,2012,26,80,16,1.8,47.4,2.9,7.7,0.3,3.0,0.1,not fire   ,0
30,9,2012,25,78,14,1.4,45.0,1.9,7.5,0.2,2.4,0.1,not fire   ,0
1,6,2012,32,71,12,0.7,57.1,2.5,8.2,0.6,2.8,0.2,not fire   ,1
2,6,2012,30,73,13,4.0,55.7,2.7,7.8,0.6,2.9,0.2,not fire   ,1
3,6,2012,29,80,14,2.0,48.7,2.2,7.6,0.3,2.6,0.1,not fire   ,1
4,6,2012,30,64,14,0.0,79.4,5.2,15.4,2.2,5.6,1.0,not fire   ,1
5,6,2012,32,60,14,0.2,77.1,6.0,17.6,1.8,6.5,0.9,not fire   ,1
